,nouns,fruit
249,apple,0.15056942403316498
4178,orange,0.07555331289768219
4150,olive,0.010086147114634514
4105,oak,0.006548825651407242
152,almond,0.006229083985090256
2034,egg,0.005465083755552769
2019,edible,0.00432070204988122
4181,orchard,0.0034739046823233366
1987,eagle,0.0033554902765899897
2520,fruit,0.003248784225434065
4156,onion,0.002451903885230422
4245,oyster,0.0019916032906621695
2187,example,0.0019293600926175714
2893,herb,0.001734885503537953
133,ale,0.00147047673817724
3229,iris,0.001410304568707943
213,ant,0.001298427232541144
3407,latency,0.0012527507496997714
3389,landmine,0.0012527507496997714
3382,lambkin,0.0012527507496997714
3383,lament,0.0012527507496997714
3385,lanai,0.0012527507496997714
3418,lawmaker,0.0012527507496997714
3387,landform,0.0012527507496997714
3395,laparoscope,0.0012527507496997714
3404,lasagna,0.0012527507496997714
3396,lapdog,0.0012527507496997714
3398,larch,0.0012527507496997714
3399,lard,0.0012527507496997714
1,CD,0.0012527507496997714
3411,latte,0.0012527507496997714
3409,lathe,0.0012527507496997714
3408,latex,0.0012527507496997714
3403,laryngitis,0.0012527507496997714
3402,larva,0.0012527507496997714
3370,labourer,0.0012527507496997714
3379,lag,0.0012527507496997714
3378,ladybug,0.0012527507496997714
3317,kettledrum,0.0012527507496997714
3320,keyboarding,0.0012527507496997714
3323,kick-off,0.0012527507496997714
3326,kielbasa,0.0012527507496997714
3330,kilogram,0.0012527507496997714
3332,kilt,0.0012527507496997714
3333,kimono,0.0012527507496997714
3339,kingfish,0.0012527507496997714
3340,kiosk,0.0012527507496997714
3345,kitsch,0.0012527507496997714
3348,kiwi,0.0012527507496997714
3350,kneejerk,0.0012527507496997714
3351,knickers,0.0012527507496997714
3353,knife-edge,0.0012527507496997714
3358,know-how,0.0012527507496997714
3360,knuckle,0.0012527507496997714
3361,koala,0.0012527507496997714
3362,kohlrabi,0.0012527507496997714
3363,kumquat,0.0012527507496997714
3368,laborer,0.0012527507496997714
3437,leaver,0.0012527507496997714
3373,lacquerware,0.0012527507496997714
3376,ladle,0.0012527507496997714
3431,leaker,0.0012527507496997714
3454,lemonade,0.0012527507496997714
3439,leek,0.0012527507496997714
3569,loquat,0.0012527507496997714
3542,lobotomy,0.0012527507496997714
3549,locket,0.0012527507496997714
3551,locust,0.0012527507496997714
3552,lode,0.0012527507496997714
3555,loggia,0.0012527507496997714
3557,login,0.0012527507496997714
3560,loincloth,0.0012527507496997714
3561,lollipop,0.0012527507496997714
3563,longboat,0.0012527507496997714
3568,loophole,0.0012527507496997714
3573,lotion,0.0012527507496997714
3440,leeway,0.0012527507496997714
3576,louse,0.0012527507496997714
3577,lout,0.0012527507496997714
3580,lox,0.0012527507496997714
3585,lumberman,0.0012527507496997714
3587,luncheonette,0.0012527507496997714
3588,lunchmeat,0.0012527507496997714
3589,lunchroom,0.0012527507496997714
3591,lunge,0.0012527507496997714
3593,lute,0.0012527507496997714
3595,lychee,0.0012527507496997714
3539,loafer,0.0012527507496997714
3535,llama,0.0012527507496997714
3530,littleneck,0.0012527507496997714
3528,litmus,0.0012527507496997714
3446,legging,0.0012527507496997714
3451,legume,0.0012527507496997714
3314,ketch,0.0012527507496997714
3455,lemur,0.0012527507496997714
3456,lender,0.0012527507496997714
3460,lentil,0.0012527507496997714
3462,leprosy,0.0012527507496997714
3463,leptocephalus,0.0012527507496997714
3467,lettuce,0.0012527507496997714
3471,leveret,0.0012527507496997714
3475,libido,0.0012527507496997714
3480,licorice,0.0012527507496997714
3493,lightscreen,0.0012527507496997714
3494,ligula,0.0012527507496997714
3497,lilac,0.0012527507496997714
3512,linkage,0.0012527507496997714
3513,linseed,0.0012527507496997714
3516,lipid,0.0012527507496997714
3517,lipoprotein,0.0012527507496997714
3520,liquidity,0.0012527507496997714
3525,literate,0.0012527507496997714
3315,ketchup,0.0012527507496997714
0,ATM,0.0012527507496997714
3313,kennel,0.0012527507496997714
3088,in-laws,0.0012527507496997714
3054,igloo,0.0012527507496997714
3057,ikebana,0.0012527507496997714
3059,illiteracy,0.0012527507496997714
3065,imbalance,0.0012527507496997714
3072,impala,0.0012527507496997714
3073,impediment,0.0012527507496997714
3079,impostor,0.0012527507496997714
3083,impropriety,0.0012527507496997714
3085,impudence,0.0012527507496997714
3087,in-joke,0.0012527507496997714
3091,inbox,0.0012527507496997714
3043,icing,0.0012527507496997714
3092,incandescence,0.0012527507496997714
3099,incision,0.0012527507496997714
3102,incompetence,0.0012527507496997714
3103,inconvenience,0.0012527507496997714
3105,incubation,0.0012527507496997714
3111,indigence,0.0012527507496997714
3113,industrialisation,0.0012527507496997714
3114,industrialization,0.0012527507496997714
3120,infarction,0.0012527507496997714
3122,infiltration,0.0012527507496997714
3052,idiom,0.0012527507496997714
3042,icicle,0.0012527507496997714
3132,infusion,0.0012527507496997714
3027,hydrolysis,0.0012527507496997714
3016,hutch,0.0012527507496997714
3017,hyacinth,0.0012527507496997714
3018,hybridisation,0.0012527507496997714
3019,hybridization,0.0012527507496997714
3020,hydrant,0.0012527507496997714
3021,hydraulics,0.0012527507496997714
3022,hydrocarb,0.0012527507496997714
3023,hydrocarbon,0.0012527507496997714
3024,hydrofoil,0.0012527507496997714
3026,hydrolyse,0.0012527507496997714
3028,hydrolyze,0.0012527507496997714
3041,icecream,0.0012527507496997714
3029,hydroxyl,0.0012527507496997714
3030,hyena,0.0012527507496997714
3031,hygienic,0.0012527507496997714
3032,hype,0.0012527507496997714
3033,hyphenation,0.0012527507496997714
3034,hypochondria,0.0012527507496997714
3035,hypothermia,0.0012527507496997714
3038,ice-cream,0.0012527507496997714
3039,iceberg,0.0012527507496997714
3040,icebreaker,0.0012527507496997714
3124,infix,0.0012527507496997714
3133,inglenook,0.0012527507496997714
3312,kendo,0.0012527507496997714
3289,julienne,0.0012527507496997714
3249,jailhouse,0.0012527507496997714
3250,jalape̱o,0.0012527507496997714
3260,jellybeans,0.0012527507496997714
3261,jellyfish,0.0012527507496997714
3265,jeweller,0.0012527507496997714
3268,jicama,0.0012527507496997714
3269,jiffy,0.0012527507496997714
3272,jodhpurs,0.0012527507496997714
3277,jot,0.0012527507496997714
3287,juggernaut,0.0012527507496997714
3290,jumbo,0.0012527507496997714
3243,jackal,0.0012527507496997714
3293,jumpsuit,0.0012527507496997714
3297,junker,0.0012527507496997714
3298,junket,0.0012527507496997714
3302,jute,0.0012527507496997714
3303,kale,0.0012527507496997714
3304,kamikaze,0.0012527507496997714
3307,kayak,0.0012527507496997714
3597,lye,0.0012527507496997714
3308,kazoo,0.0012527507496997714
3309,kebab,0.0012527507496997714
3245,jackfruit,0.0012527507496997714
3240,itinerary,0.0012527507496997714
3134,ingrate,0.0012527507496997714
3194,interconnection,0.0012527507496997714
3136,inhabitant,0.0012527507496997714
3141,initialise,0.0012527507496997714
3142,initialize,0.0012527507496997714
3148,inlay,0.0012527507496997714
3150,innervation,0.0012527507496997714
3158,insectarium,0.0012527507496997714
3162,insolence,0.0012527507496997714
3163,insomnia,0.0012527507496997714
3180,insurgence,0.0012527507496997714
3191,intentionality,0.0012527507496997714
3198,interferometer,0.0012527507496997714
3236,isogloss,0.0012527507496997714
3200,interject,0.0012527507496997714
3201,interloper,0.0012527507496997714
3206,intervenor,0.0012527507496997714
3209,interviewer,0.0012527507496997714
3210,intestine,0.0012527507496997714
3213,invader,0.0012527507496997714
3226,invoice,0.0012527507496997714
3228,iridescence,0.0012527507496997714
3231,ironclad,0.0012527507496997714
3234,ischemia,0.0012527507496997714
3596,lycra,0.0012527507496997714
3604,mRNA,0.0012527507496997714
3598,lymphocyte,0.0012527507496997714
3973,music-box,0.0012527507496997714
3951,moustache,0.0012527507496997714
3953,mouton,0.0012527507496997714
3955,mover,0.0012527507496997714
3957,mower,0.0012527507496997714
3958,mozzarella,0.0012527507496997714
3960,muffin,0.0012527507496997714
3962,mukluk,0.0012527507496997714
3966,muscat,0.0012527507496997714
3967,muscatel,0.0012527507496997714
3969,musculature,0.0012527507496997714
3974,music-making,0.0012527507496997714
3949,mouser,0.0012527507496997714
3976,muskrat,0.0012527507496997714
3977,mussel,0.0012527507496997714
3981,mutt,0.0012527507496997714
3982,mutton,0.0012527507496997714
3983,mycoplasma,0.0012527507496997714
3990,nanoparticle,0.0012527507496997714
3997,naturalisation,0.0012527507496997714
4003,necktie,0.0012527507496997714
4005,nectarine,0.0012527507496997714
4009,negligee,0.0012527507496997714
3950,mousse,0.0012527507496997714
3944,motorcar,0.0012527507496997714
3600,lyocell,0.0012527507496997714
3901,monger,0.0012527507496997714
3880,mobster,0.0012527507496997714
3881,moccasins,0.0012527507496997714
3882,mocha,0.0012527507496997714
3883,mochi,0.0012527507496997714
3887,modem,0.0012527507496997714
3889,modernity,0.0012527507496997714
3891,molar,0.0012527507496997714
3892,molasses,0.0012527507496997714
3893,molding,0.0012527507496997714
3899,monasticism,0.0012527507496997714
3906,monocle,0.0012527507496997714
3943,motorboat,0.0012527507496997714
3908,monotheism,0.0012527507496997714
3917,moonscape,0.0012527507496997714
3918,moonshine,0.0012527507496997714
3920,mop,0.0012527507496997714
3922,morbid,0.0012527507496997714
3923,morbidity,0.0012527507496997714
